SessionID;TS_Unix;Time;Scenario;Condition;x1;y1;z1;rotx1;roty1;rotz1;rotw1;lhx1;lhy1;lhz1;lhrotx1;lhroty1;lhrotz1;lhrotw1;rhx1;rhy1;rhz1;rhrotx1;rhroty1;rhrotz1;rhrotw1;x2;y2;z2;rotx2;roty2;rotz2;rotw2;lhx2;lhy2;lhz2;lhrotx2;lhroty2;lhrotz2;lhrotw2;rhx2;rhy2;rhz2;rhrotx2;rhroty2;rhrotz2;rhrotw2
5;1571912298594.96;0;1A;1A;-0.17;1.912;-0.281;0.031;0.925;0.041;-0.376;-0.129;1.284;-0.484;-0.722;0.612;-0.323;0.014;-0.334;1.289;-0.095;-0.057;-0.29;0.809;0.509;-0.404;1.508;0.384;0.005;0.817;-0.039;0.576;-0.405;0.826;0.725;0.029;-0.001;-0.917;0.399;-0.485;0.82;0.112;0.938;0.319;-0.136;0.002
5;1571912298610.91;16;1A;1A;-0.17;1.912;-0.281;0.031;0.925;0.041;-0.376;-0.129;1.284;-0.484;-0.722;0.612;-0.323;0.014;-0.334;1.289;-0.095;-0.057;-0.29;0.809;0.509;-0.404;1.508;0.384;0.005;0.817;-0.039;0.576;-0.405;0.826;0.725;0.029;-0.001;-0.917;0.399;-0.485;0.82;0.112;0.938;0.319;-0.136;0.002
5;1571912298627.87;33;1A;1A;-0.169;1.912;-0.281;0.031;0.925;0.041;-0.377;-0.129;1.284;-0.484;-0.721;0.613;-0.324;0.013;-0.334;1.289;-0.095;-0.06;-0.289;0.808;0.509;-0.404;1.508;0.384;0.006;0.817;-0.04;0.575;-0.397;0.83;0.726;0.055;0.005;-0.905;0.422;-0.479;0.824;0.109;0.929;0.338;-0.153;0.004
5;1571912298643.83;49;1A;1A;-0.169;1.912;-0.281;0.031;0.925;0.041;-0.377;-0.129;1.284;-0.483;-0.72;0.613;-0.324;0.012;-0.334;1.289;-0.095;-0.061;-0.289;0.808;0.509;-0.404;1.508;0.383;0.006;0.817;-0.04;0.575;-0.395;0.831;0.726;0.063;0.006;-0.9;0.43;-0.476;0.825;0.107;0.926;0.344;-0.158;0.005
5;1571912298662.77;68;1A;1A;-0.169;1.912;-0.281;0.031;0.925;0.04;-0.378;-0.129;1.284;-0.483;-0.72;0.614;-0.323;0.013;-0.334;1.289;-0.095;-0.062;-0.289;0.808;0.509;-0.404;1.508;0.383;0.007;0.817;-0.041;0.575;-0.388;0.835;0.726;0.074;0.011;-0.892;0.446;-0.471;0.828;0.105;0.919;0.357;-0.167;0.007
5;1571912298677.73;83;1A;1A;-0.169;1.912;-0.281;0.031;0.925;0.04;-0.378;-0.129;1.284;-0.483;-0.72;0.615;-0.323;0.013;-0.334;1.289;-0.096;-0.062;-0.289;0.808;0.509;-0.404;1.508;0.383;0.007;0.817;-0.041;0.575;-0.388;0.835;0.726;0.074;0.011;-0.892;0.446;-0.471;0.828;0.105;0.919;0.357;-0.167;0.007
5;1571912298694.69;100;1A;1A;-0.169;1.912;-0.281;0.031;0.924;0.039;-0.378;-0.129;1.285;-0.483;-0.719;0.615;-0.322;0.013;-0.334;1.289;-0.096;-0.063;-0.29;0.808;0.509;-0.405;1.507;0.383;0.007;0.817;-0.043;0.574;-0.378;0.841;0.726;0.079;0.017;-0.88;0.468;-0.461;0.832;0.102;0.911;0.375;-0.169;0.009
5;1571912298710.65;116;1A;1A;-0.169;1.912;-0.281;0.031;0.924;0.039;-0.378;-0.129;1.285;-0.483;-0.719;0.615;-0.322;0.013;-0.334;1.289;-0.096;-0.063;-0.29;0.808;0.509;-0.405;1.507;0.383;0.007;0.817;-0.043;0.574;-0.378;0.841;0.726;0.079;0.017;-0.88;0.468;-0.461;0.832;0.102;0.911;0.375;-0.169;0.009
5;1571912298727.6;133;1A;1A;-0.168;1.912;-0.281;0.032;0.924;0.039;-0.378;-0.13;1.285;-0.483;-0.718;0.617;-0.322;0.013;-0.333;1.289;-0.097;-0.063;-0.292;0.808;0.509;-0.406;1.507;0.383;0.008;0.818;-0.043;0.574;-0.366;0.849;0.725;0.067;0.017;-0.866;0.495;-0.45;0.838;0.1;0.903;0.396;-0.167;0.012
5;1571912298744.59;150;1A;1A;-0.168;1.912;-0.282;0.032;0.925;0.038;-0.378;-0.13;1.285;-0.482;-0.718;0.617;-0.322;0.012;-0.333;1.289;-0.097;-0.064;-0.293;0.807;0.508;-0.406;1.507;0.383;0.008;0.818;-0.043;0.574;-0.366;0.849;0.725;0.067;0.017;-0.866;0.495;-0.45;0.838;0.1;0.903;0.396;-0.167;0.012
