@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute P1SummaryMatrix-1 numeric
@attribute P1SummaryMatrix-2 numeric
@attribute P1SummaryMatrix-3 numeric
@attribute P1SummaryMatrix-4 numeric
@attribute P1SummaryMatrix-5 numeric
@attribute P1SummaryMatrix-6 numeric
@attribute P1SummaryMatrix-7 numeric
@attribute P1SummaryMatrix-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2020/02/28 11:58:19:264',1,0.122609,0.066803,0.094706,0.042075,0.032779,0.037427,0.9257,0.412758,0,0,0,0,0
2,'2020/02/28 11:58:19:283',1,0.137937,0.066224,0.10208,0.051855,0.035551,0.043703,0.9257,0.411483,0,0,0,0,0
3,'2020/02/28 11:58:19:297',1,0.151509,0.074668,0.113089,0.046563,0.036251,0.041407,0.9257,0.411164,0,0,0,0,0
4,'2020/02/28 11:58:19:314',1,0.163366,0.082129,0.122747,0.025922,0.032494,0.029208,0.9257,0.409251,0,0,0,0,0
5,'2020/02/28 11:58:19:330',1,0.16301,0.089597,0.126304,0.025512,0.021387,0.02345,0.9257,0.407019,0,0,0,0,0
6,'2020/02/28 11:58:19:347',1,0.144987,0.090192,0.11759,0.035721,0.017464,0.026593,0.9257,0.405424,0,0,0,0,0
7,'2020/02/28 11:58:19:362',1,0.135988,0.080996,0.108492,0.042196,0.019609,0.030902,0.9257,0.404468,0,0,0,0,0
8,'2020/02/28 11:58:19:379',1,0.141087,0.076501,0.108794,0.044456,0.021859,0.033157,0.9257,0.40383,0,0,0,0,0
9,'2020/02/28 11:58:19:395',1,0.141815,0.081021,0.111418,0.044955,0.024658,0.034807,0.9257,0.403511,0,0,0,0,0
10,'2020/02/28 11:58:19:413',1,0.157546,0.083406,0.120476,0.038167,0.020725,0.029446,0.926309,0.404149,0,0,0,0,0
11,'2020/02/28 11:58:19:430',1,0.154223,0.094623,0.124423,0.046495,0.015265,0.03088,0.926309,0.403511,0,0,0,0,0
12,'2020/02/28 11:58:19:446',1,0.14137,0.092712,0.117041,0.059448,0.01522,0.037334,0.926309,0.403511,0,0,0,0,0
13,'2020/02/28 11:58:19:462',1,0.140101,0.08635,0.113226,0.06216,0.016863,0.039511,0.926309,0.404787,0,0,0,0,0
14,'2020/02/28 11:58:19:478',1,0.146752,0.08803,0.117391,0.058563,0.016179,0.037371,0.926309,0.404468,0,0,0,0,0
15,'2020/02/28 11:58:19:495',1,0.149021,0.093874,0.121448,0.059994,0.018709,0.039352,0.926309,0.40383,0,0,0,0,0
16,'2020/02/28 11:58:19:513',1,0.145981,0.097455,0.121718,0.068373,0.016693,0.042533,0.926918,0.407019,0,0,0,0,0
17,'2020/02/28 11:58:19:529',1,0.1316,0.098347,0.114973,0.080743,0.01947,0.050106,0.926918,0.407975,0,0,0,0,0
18,'2020/02/28 11:58:19:545',1,0.116128,0.089286,0.102707,0.091429,0.025212,0.058321,0.926918,0.407656,0,0,0,0,0
19,'2020/02/28 11:58:19:561',1,0.114867,0.079753,0.09731,0.079713,0.029014,0.054363,0.927527,0.409569,0,0,0,0,0
20,'2020/02/28 11:58:19:577',1,0.11836,0.081167,0.099764,0.069738,0.024294,0.047016,0.927527,0.409251,0,0,0,0,0
21,'2020/02/28 11:58:19:594',1,0.117288,0.08561,0.101449,0.068826,0.02363,0.046228,0.927527,0.408294,0,0,0,0,0
22,'2020/02/28 11:58:19:611',1,0.112735,0.088816,0.100776,0.072687,0.025303,0.048995,0.927527,0.416584,0,0,0,0,0
23,'2020/02/28 11:58:19:627',1,0.096293,0.089005,0.092649,0.083935,0.030038,0.056986,0.928136,0.412758,0,0,0,0,0
24,'2020/02/28 11:58:19:644',1,0.088733,0.078919,0.083826,0.088313,0.040611,0.064462,0.928136,0.414671,0,0,0,0,0
25,'2020/02/28 11:58:19:661',1,0.09482,0.073702,0.084261,0.081104,0.049482,0.065293,0.928136,0.413715,0,0,0,0,0
26,'2020/02/28 11:58:19:677',1,0.102857,0.077721,0.090289,0.076652,0.053405,0.065029,0.928136,0.412758,0,0,0,0,0
27,'2020/02/28 11:58:19:693',1,0.111942,0.082159,0.09705,0.06684,0.05457,0.060705,0.928136,0.415947,0,0,0,0,0
28,'2020/02/28 11:58:19:711',1,0.11549,0.086636,0.101063,0.061213,0.051352,0.056283,0.928136,0.41499,0,0,0,0,0
29,'2020/02/28 11:58:19:727',1,0.113349,0.087844,0.100597,0.06123,0.051407,0.056319,0.928136,0.418179,0,0,0,0,0
30,'2020/02/28 11:58:19:743',1,0.104717,0.085755,0.095236,0.064589,0.053354,0.058971,0.928136,0.416584,0,0,0,0,0
31,'2020/02/28 11:58:19:760',1,0.103445,0.078003,0.090724,0.055232,0.055738,0.055485,0.928136,0.41499,0,0,0,0,0
32,'2020/02/28 11:58:19:777',1,0.102329,0.076138,0.089234,0.049824,0.046296,0.04806,0.928136,0.414033,0,0,0,0,0
33,'2020/02/28 11:58:19:794',1,0.101024,0.076909,0.088967,0.047643,0.039949,0.043796,0.928136,0.416265,0,0,0,0,0
34,'2020/02/28 11:58:19:811',1,0.096539,0.078478,0.087508,0.046671,0.033415,0.040043,0.928745,0.416265,0,0,0,0,0
35,'2020/02/28 11:58:19:827',1,0.086569,0.076827,0.081698,0.046445,0.027192,0.036818,0.928136,0.414671,0,0,0,0,0
36,'2020/02/28 11:58:19:844',1,0.081381,0.071716,0.076549,0.043562,0.01962,0.031591,0.928136,0.41499,0,0,0,0,0
37,'2020/02/28 11:58:19:860',1,0.088022,0.070106,0.079064,0.024081,0.015354,0.019717,0.928745,0.413715,0,0,0,0,0
38,'2020/02/28 11:58:19:877',1,0.084277,0.076455,0.080366,0.03295,0.012879,0.022915,0.928745,0.413077,0,0,0,0,0
39,'2020/02/28 11:58:19:893',1,0.081011,0.07674,0.078875,0.041247,0.021603,0.031425,0.928136,0.414033,0,0,0,0,0
40,'2020/02/28 11:58:19:909',1,0.069051,0.077096,0.073074,0.054433,0.030811,0.042622,0.928136,0.413715,0,0,0,0,0
41,'2020/02/28 11:58:19:925',1,0.05316,0.069658,0.061409,0.062197,0.043905,0.053051,0.928136,0.413396,0,0,0,0,0
42,'2020/02/28 11:58:19:941',1,0.044284,0.059261,0.051773,0.056582,0.054959,0.05577,0.927527,0.413077,0,0,0,0,0
43,'2020/02/28 11:58:19:959',1,0.036394,0.053178,0.044786,0.052781,0.053164,0.052973,0.927527,0.413396,0,0,0,0,0
44,'2020/02/28 11:58:19:975',1,0.034592,0.047435,0.041014,0.042351,0.052944,0.047648,0.927527,0.413396,0,0,0,0,0
45,'2020/02/28 11:58:19:992',1,0.029752,0.045552,0.037652,0.040427,0.044898,0.042663,0.926918,0.413077,0,0,0,0,0
46,'2020/02/28 11:58:20:009',1,0.02268,0.040482,0.031581,0.043458,0.043862,0.04366,0.926918,0.412439,0,0,0,0,0
47,'2020/02/28 11:58:20:026',1,0.016202,0.031653,0.023928,0.047152,0.049633,0.048392,0.926918,0.41212,0,0,0,0,0
48,'2020/02/28 11:58:20:042',1,0.014436,0.0232,0.018818,0.040642,0.05318,0.046911,0.926918,0.411164,0,0,0,0,0
49,'2020/02/28 11:58:20:058',1,0.014975,0.018215,0.016595,0.035779,0.044766,0.040273,0.926918,0.410526,0,0,0,0,0
50,'2020/02/28 11:58:20:075',1,0.014847,0.015207,0.015027,0.035234,0.036693,0.035963,0.926918,0.410526,0,0,0,0,0
51,'2020/02/28 11:58:20:091',1,0.017249,0.011213,0.014231,0.030371,0.033631,0.032001,0.926918,0.409251,0,0,0,0,0
52,'2020/02/28 11:58:20:108',1,0.019395,0.009216,0.014306,0.028498,0.027101,0.0278,0.926918,0.407338,0,0,0,0,0
53,'2020/02/28 11:58:20:124',1,0.02125,0.009397,0.015323,0.028433,0.024994,0.026713,0.926918,0.406062,0,0,0,0,0
54,'2020/02/28 11:58:20:141',1,0.023484,0.01111,0.017297,0.023593,0.023271,0.023432,0.926918,0.404787,0,0,0,0,0
55,'2020/02/28 11:58:20:157',1,0.024824,0.011775,0.018299,0.020696,0.017113,0.018904,0.926918,0.40383,0,0,0,0,0
56,'2020/02/28 11:58:20:174',1,0.02661,0.011599,0.019105,0.0191,0.014343,0.016721,0.926918,0.403511,0,0,0,0,0
57,'2020/02/28 11:58:20:190',1,0.029338,0.01238,0.020859,0.014965,0.015236,0.0151,0.926918,0.402236,0,0,0,0,0
58,'2020/02/28 11:58:20:208',1,0.029397,0.014415,0.021906,0.015075,0.014386,0.014731,0.926918,0.399685,0,0,0,0,0
59,'2020/02/28 11:58:20:224',1,0.027035,0.015296,0.021165,0.018414,0.015833,0.017124,0.926918,0.398728,0,0,0,0,0
60,'2020/02/28 11:58:20:240',1,0.027968,0.014551,0.02126,0.019043,0.024713,0.021878,0.926918,0.396496,0,0,0,0,0
61,'2020/02/28 11:58:20:256',1,0.029582,0.016592,0.023087,0.02063,0.033097,0.026864,0.926918,0.395221,0,0,0,0,0
